Response ID,age,gender,education,other_langs,thought_lang - Selected Choice,comfort_emotion_lang - Selected Choice,daily_eng,most_used_lang - Selected Choice,most_used_lang - Other (please specify below) - Text,lang_instruction - Selected Choice,lang_instruction - Other (please specify below) - Text,variable,value
R_10dUFJulVNWRH8V,36-45,Female,Master’s degree,,English,English,Definitely yes,English,,English,,"'A friend sent Tom a very unfunny joke on messenger, and Tom did not answer'.
Name the emotion Tom would feel in this situation:",Shame
R_6QyOdq9nqUQzMz3,46-55,Male,Primary education,,English,English,Definitely yes,English,,English,,"'A friend sent Tom a very unfunny joke on messenger, and Tom did not answer'.
Name the emotion Tom would feel in this situation:",embarrassment
R_4KbMUki2qMYU1gJ,56+,Female,No formal education,,Other (please specify),English,Probably not,Other (please specify below),,3,,intensity.2,2-Rather weak
R_1PB00TTXcQ3MrZf,18-25,Male,Secondary education (High school),na,English,English,Definitely yes,English,,English,,intensity.2,3-Medium
R_1zuQePlilZKo434,18-25,Female,Bachelor’s degree,,English,English,Definitely yes,English,,English,,intensity.2,1- Very weak
R_33j6oCssq7eKr41,26-35,Male,Bachelor’s degree,"Swahili, French",English,English,Definitely yes,English,,English,,intensity.2,4-Rather strong
R_7uJbB6K8mNsdiTj,26-35,Female,Bachelor’s degree,none,English,English,Definitely yes,English,,English,,intensity.2,3-Medium
R_1NPtZ3yyFjxs7wT,26-35,Female,Master’s degree,Armenian,English,English,Definitely yes,English,,English,,intensity.2,3-Medium
R_1AtRMBho8o1BLRn,18-25,Female,Master’s degree,,English,English,Definitely yes,English,,English,,intensity.2,1- Very weak
R_7ikw3tQKwns8oai,26-35,Female,Bachelor’s degree,none,English,English,Definitely yes,English,,English,,intensity.2,1- Very weak
R_3DzYVx6jhWFiMFu,26-35,Male,Master’s degree,,English,English,Definitely yes,English,,English,,intensity.2,4-Rather strong
R_5aJ5773izxZgBUM,56+,Male,Master’s degree,none,English,English,Definitely yes,English,,English,,intensity.2,3-Medium
R_5pncMA5SbRE4Hcf,36-45,Male,Bachelor’s degree,English,English,English,Definitely yes,English,,English,,intensity.2,3-Medium
R_5GLcq5ZonHUe48x,18-25,Male,Bachelor’s degree,None.,English,English,Definitely yes,English,,English,,intensity.2,2-Rather weak
R_5YjttLicw3JmDdf,18-25,Male,Bachelor’s degree,,English,English,Definitely yes,English,,English,,intensity.2,4-Rather strong
R_5Q5Fh4fbdsKWfJJ,18-25,Female,Bachelor’s degree,,English,English,Definitely yes,English,,English,,intensity.2,1- Very weak
R_3CkzQ1WXgXTyWrN,26-35,Male,Master’s degree,Spanish,English,English,Definitely yes,English,,English,,intensity.2,4-Rather strong
R_1GCghImduWIE6i4,18-25,Male,Bachelor’s degree,Mandarin,English,English,Definitely yes,English,,English,,intensity.2,4-Rather strong
R_1x3AgDBglm6emAh,36-45,Female,Bachelor’s degree,none,English,English,Definitely yes,English,,English,,intensity.2,2-Rather weak
R_5CTTORsw7UqrMhf,36-45,Male,Bachelor’s degree,,English,English,Definitely yes,English,,English,,intensity.2,3-Medium
R_699YBunJXF8rkQF,26-35,Male,Secondary education (High school),American Sign Language,English,English,Definitely yes,English,,English,,intensity.2,2-Rather weak
R_6B3BJILoA8iAxsp,36-45,Male,Bachelor’s degree,none,English,English,Definitely yes,English,,English,,intensity.2,4-Rather strong
R_107h1Vn7CV1doqN,36-45,Male,Master’s degree,I speak only English,English,English,Definitely yes,English,,English,,intensity.2,2-Rather weak
R_1kM2sYw0yILPpYN,26-35,Female,Bachelor’s degree,,English,English,Definitely yes,English,,English,,intensity.2,3-Medium
R_7rJzJXebMVwXdAa,36-45,Female,Master’s degree,na,English,English,Definitely yes,English,,English,,intensity.2,3-Medium
R_7E0rQuIBfE8K5mg,26-35,Female,Bachelor’s degree,non,English,English,Definitely yes,English,,English,,intensity.2,4-Rather strong
R_3GtSUKXRfoX41Il,26-35,Male,Master’s degree,Spanish,English,English,Definitely yes,English,,English,,intensity.2,2-Rather weak
R_3dcvKW5b4zEDQoY,18-25,Male,Bachelor’s degree,Chaldean,English,English,Definitely yes,English,,English,,intensity.2,4-Rather strong
R_5loSb2FnG8EckOY,26-35,Female,Bachelor’s degree,none,English,English,Definitely yes,English,,English,,intensity.2,2-Rather weak
R_6lE17npzadUddst,18-25,Female,Bachelor’s degree,,English,English,Definitely yes,English,,English,,intensity.2,4-Rather strong
R_3zuWbC5oWUkttXh,26-35,Male,Bachelor’s degree,spanish,English,English,Definitely yes,English,,English,,intensity.2,5- Very strong
R_1QKRLRNMycAAiws,26-35,Female,Bachelor’s degree,none,English,English,Definitely yes,English,,English,,intensity.2,3-Medium
R_7OHi6sgiNIkRb1D,46-55,Female,Secondary education (High school),Nothing ,English,English,Definitely yes,English,,English,,intensity.2,4-Rather strong
R_7HJYgltYfd7W4Ip,46-55,Female,Bachelor’s degree,,English,English,Definitely yes,English,,English,,intensity.2,3-Medium
R_6CKuCcTMYTh3BdE,56+,Female,Master’s degree,none,English,English,Definitely yes,English,,English,,intensity.2,3-Medium
R_34gws0kx39UhGbD,46-55,Female,Bachelor’s degree,none,English,English,Definitely yes,English,,English,,intensity.2,3-Medium
R_3E0PeL2dDOLlEFI,36-45,Male,Secondary education (High school),,English,English,Definitely yes,English,,English,,intensity.2,2-Rather weak
R_729Koo0SOsMXMnn,56+,Male,Master’s degree,Spanish,English,English,Definitely yes,English,,English,,intensity.2,4-Rather strong
R_5flVqodrpIHNUFu,36-45,Female,Secondary education (High school),,English,English,Definitely yes,English,,English,,intensity.2,4-Rather strong
R_6Ov226ING9ZD20L,36-45,Female,Bachelor’s degree,English,English,English,Definitely yes,English,,English,,intensity.2,2-Rather weak
R_6LMXBbF8WDwL9NX,56+,Female,Secondary education (High school),none,English,English,Definitely yes,English,,English,,intensity.2,3-Medium
R_5Gy5GPrz4SWuuH2,36-45,Female,Bachelor’s degree,Russian,English,English,Definitely yes,English,,English,,intensity.2,2-Rather weak
R_6WQK8obG9ELgabf,26-35,Male,Primary education,none,English,English,Definitely yes,English,,English,,intensity.2,3-Medium
R_1xQKA63Ya8INRND,56+,Male,Doctorate (Ph.D.),none,English,English,Definitely yes,English,,English,,intensity.2,4-Rather strong
R_3QgiDi6LVafBCa8,56+,Female,Bachelor’s degree,none,English,English,Definitely yes,English,,English,,intensity.2,3-Medium
R_63xKbOJ9nnzxHm9,36-45,Female,Secondary education (High school),none,English,English,Definitely yes,English,,English,,intensity.2,3-Medium
R_6FG9aCY3xBmsaY4,26-35,Female,Secondary education (High school),none,English,English,Definitely yes,English,,English,,intensity.2,2-Rather weak
R_5OXnLupIihHKg6Z,46-55,Female,Secondary education (High school),English,English,English,Definitely yes,English,,English,,intensity.2,2-Rather weak
R_7r0vpFUDZ0D0doN,18-25,Non-binary,Bachelor’s degree,,English,English,Definitely yes,English,,English,,intensity.2,3-Medium
R_11JLrAN7mh0UReV,26-35,Male,Bachelor’s degree,none,English,English,Definitely yes,English,,English,,intensity.2,3-Medium
R_1PmK7w5cqTelO5Q,26-35,Female,Bachelor’s degree,German,English,English,Definitely yes,English,,English,,intensity.2,4-Rather strong
R_5a8BrPA6iwWqzct,26-35,Male,Master’s degree,non,English,English,Definitely yes,English,,English,,intensity.2,3-Medium
R_3poqxx6qUvv4xdd,26-35,Male,Bachelor’s degree,Yourba,English,English,Definitely yes,English,,English,,intensity.2,5- Very strong
R_17WgeNNCjJAzHLn,26-35,Male,Secondary education (High school),1,English,English,Definitely yes,English,,English,,intensity.2,2-Rather weak
R_11BNXQR0I6Yo0rU,56+,Female,Bachelor’s degree,,English,English,Definitely yes,English,,English,,intensity.2,3-Medium
R_34GabVuMttFsAjn,18-25,Female,Master’s degree,none,English,English,Definitely yes,English,,English,,intensity.2,4-Rather strong
R_3DUOrXAnGYbIn1A,26-35,Male,Secondary education (High school),,English,English,Definitely yes,English,,English,,intensity.2,4-Rather strong
R_3bZecrIP03ypQTS,26-35,Male,Bachelor’s degree,"English, Spanish",English,English,Probably yes,English,,English,,intensity.2,4-Rather strong
R_3Cg3AArw8AABawh,26-35,Female,Bachelor’s degree,none,English,English,Definitely yes,English,,English,,intensity.2,2-Rather weak
R_1lLDhiyHJrTwUAm,56+,Female,Secondary education (High school),,English,English,Definitely yes,English,,English,,intensity.2,3-Medium
R_5hcpmYMKqM46qQ1,26-35,Female,Bachelor’s degree,Yes,English,English,Probably yes,English,,English,,intensity.2,4-Rather strong
R_10dUFJulVNWRH8V,36-45,Female,Master’s degree,,English,English,Definitely yes,English,,English,,intensity.2,5- Very strong
R_6QyOdq9nqUQzMz3,46-55,Male,Primary education,,English,English,Definitely yes,English,,English,,intensity.2,2-Rather weak
R_4KbMUki2qMYU1gJ,56+,Female,No formal education,,Other (please specify),English,Probably not,Other (please specify below),,3,,"'An athlete representing his country at the Olympics lost in the semifinal match, his coach and supporters are now upset.' 
Name the emotion the athlete would feel:",чя
R_1PB00TTXcQ3MrZf,18-25,Male,Secondary education (High school),na,English,English,Definitely yes,English,,English,,"'An athlete representing his country at the Olympics lost in the semifinal match, his coach and supporters are now upset.' 
Name the emotion the athlete would feel:",frustration or guilty
R_1zuQePlilZKo434,18-25,Female,Bachelor’s degree,,English,English,Definitely yes,English,,English,,"'An athlete representing his country at the Olympics lost in the semifinal match, his coach and supporters are now upset.' 
Name the emotion the athlete would feel:",Upset
R_33j6oCssq7eKr41,26-35,Male,Bachelor’s degree,"Swahili, French",English,English,Definitely yes,English,,English,,"'An athlete representing his country at the Olympics lost in the semifinal match, his coach and supporters are now upset.' 
Name the emotion the athlete would feel:",Sad
R_7uJbB6K8mNsdiTj,26-35,Female,Bachelor’s degree,none,English,English,Definitely yes,English,,English,,"'An athlete representing his country at the Olympics lost in the semifinal match, his coach and supporters are now upset.' 
Name the emotion the athlete would feel:",disappointment
R_1NPtZ3yyFjxs7wT,26-35,Female,Master’s degree,Armenian,English,English,Definitely yes,English,,English,,"'An athlete representing his country at the Olympics lost in the semifinal match, his coach and supporters are now upset.' 
Name the emotion the athlete would feel:",disappointment
R_1AtRMBho8o1BLRn,18-25,Female,Master’s degree,,English,English,Definitely yes,English,,English,,"'An athlete representing his country at the Olympics lost in the semifinal match, his coach and supporters are now upset.' 
Name the emotion the athlete would feel:",Disappointed
R_7ikw3tQKwns8oai,26-35,Female,Bachelor’s degree,none,English,English,Definitely yes,English,,English,,"'An athlete representing his country at the Olympics lost in the semifinal match, his coach and supporters are now upset.' 
Name the emotion the athlete would feel:",regret
R_3DzYVx6jhWFiMFu,26-35,Male,Master’s degree,,English,English,Definitely yes,English,,English,,"'An athlete representing his country at the Olympics lost in the semifinal match, his coach and supporters are now upset.' 
Name the emotion the athlete would feel:",Dissapointment
R_5aJ5773izxZgBUM,56+,Male,Master’s degree,none,English,English,Definitely yes,English,,English,,"'An athlete representing his country at the Olympics lost in the semifinal match, his coach and supporters are now upset.' 
Name the emotion the athlete would feel:",Devastation
R_5pncMA5SbRE4Hcf,36-45,Male,Bachelor’s degree,English,English,English,Definitely yes,English,,English,,"'An athlete representing his country at the Olympics lost in the semifinal match, his coach and supporters are now upset.' 
Name the emotion the athlete would feel:",disappointment
R_5GLcq5ZonHUe48x,18-25,Male,Bachelor’s degree,None.,English,English,Definitely yes,English,,English,,"'An athlete representing his country at the Olympics lost in the semifinal match, his coach and supporters are now upset.' 
Name the emotion the athlete would feel:",Disappointed
R_5YjttLicw3JmDdf,18-25,Male,Bachelor’s degree,,English,English,Definitely yes,English,,English,,"'An athlete representing his country at the Olympics lost in the semifinal match, his coach and supporters are now upset.' 
Name the emotion the athlete would feel:",disappointment
R_5Q5Fh4fbdsKWfJJ,18-25,Female,Bachelor’s degree,,English,English,Definitely yes,English,,English,,"'An athlete representing his country at the Olympics lost in the semifinal match, his coach and supporters are now upset.' 
Name the emotion the athlete would feel:","



Discouraged.
"
R_3CkzQ1WXgXTyWrN,26-35,Male,Master’s degree,Spanish,English,English,Definitely yes,English,,English,,"'An athlete representing his country at the Olympics lost in the semifinal match, his coach and supporters are now upset.' 
Name the emotion the athlete would feel:",Disappointment
R_1GCghImduWIE6i4,18-25,Male,Bachelor’s degree,Mandarin,English,English,Definitely yes,English,,English,,"'An athlete representing his country at the Olympics lost in the semifinal match, his coach and supporters are now upset.' 
Name the emotion the athlete would feel:",unsucessful
R_1x3AgDBglm6emAh,36-45,Female,Bachelor’s degree,none,English,English,Definitely yes,English,,English,,"'An athlete representing his country at the Olympics lost in the semifinal match, his coach and supporters are now upset.' 
Name the emotion the athlete would feel:",despondence
R_5CTTORsw7UqrMhf,36-45,Male,Bachelor’s degree,,English,English,Definitely yes,English,,English,,"'An athlete representing his country at the Olympics lost in the semifinal match, his coach and supporters are now upset.' 
Name the emotion the athlete would feel:",Dissapointed
R_699YBunJXF8rkQF,26-35,Male,Secondary education (High school),American Sign Language,English,English,Definitely yes,English,,English,,"'An athlete representing his country at the Olympics lost in the semifinal match, his coach and supporters are now upset.' 
Name the emotion the athlete would feel:",Defeated
R_6B3BJILoA8iAxsp,36-45,Male,Bachelor’s degree,none,English,English,Definitely yes,English,,English,,"'An athlete representing his country at the Olympics lost in the semifinal match, his coach and supporters are now upset.' 
Name the emotion the athlete would feel:",sad
R_107h1Vn7CV1doqN,36-45,Male,Master’s degree,I speak only English,English,English,Definitely yes,English,,English,,"'An athlete representing his country at the Olympics lost in the semifinal match, his coach and supporters are now upset.' 
Name the emotion the athlete would feel:","he athlete would likely feel disappointment and possibly guilt or frustration in this situation. Losing in the semifinal match at the Olympics, especially with the coach and supporters upset, would be emotionally challenging for the athlete, as they would have been striving for success not just for themselves but also for their team and country."
R_1kM2sYw0yILPpYN,26-35,Female,Bachelor’s degree,,English,English,Definitely yes,English,,English,,"'An athlete representing his country at the Olympics lost in the semifinal match, his coach and supporters are now upset.' 
Name the emotion the athlete would feel:",Devastation
R_7rJzJXebMVwXdAa,36-45,Female,Master’s degree,na,English,English,Definitely yes,English,,English,,"'An athlete representing his country at the Olympics lost in the semifinal match, his coach and supporters are now upset.' 
Name the emotion the athlete would feel:",bad
R_7E0rQuIBfE8K5mg,26-35,Female,Bachelor’s degree,non,English,English,Definitely yes,English,,English,,"'An athlete representing his country at the Olympics lost in the semifinal match, his coach and supporters are now upset.' 
Name the emotion the athlete would feel:",Disappointment
R_3GtSUKXRfoX41Il,26-35,Male,Master’s degree,Spanish,English,English,Definitely yes,English,,English,,"'An athlete representing his country at the Olympics lost in the semifinal match, his coach and supporters are now upset.' 
Name the emotion the athlete would feel:",Disappointed
R_3dcvKW5b4zEDQoY,18-25,Male,Bachelor’s degree,Chaldean,English,English,Definitely yes,English,,English,,"'An athlete representing his country at the Olympics lost in the semifinal match, his coach and supporters are now upset.' 
Name the emotion the athlete would feel:",Very Devastated
R_5loSb2FnG8EckOY,26-35,Female,Bachelor’s degree,none,English,English,Definitely yes,English,,English,,"'An athlete representing his country at the Olympics lost in the semifinal match, his coach and supporters are now upset.' 
Name the emotion the athlete would feel:",shame
R_6lE17npzadUddst,18-25,Female,Bachelor’s degree,,English,English,Definitely yes,English,,English,,"'An athlete representing his country at the Olympics lost in the semifinal match, his coach and supporters are now upset.' 
Name the emotion the athlete would feel:",Disappointment
R_3zuWbC5oWUkttXh,26-35,Male,Bachelor’s degree,spanish,English,English,Definitely yes,English,,English,,"'An athlete representing his country at the Olympics lost in the semifinal match, his coach and supporters are now upset.' 
Name the emotion the athlete would feel:",shame
R_1QKRLRNMycAAiws,26-35,Female,Bachelor’s degree,none,English,English,Definitely yes,English,,English,,"'An athlete representing his country at the Olympics lost in the semifinal match, his coach and supporters are now upset.' 
Name the emotion the athlete would feel:",disappointed
R_7OHi6sgiNIkRb1D,46-55,Female,Secondary education (High school),Nothing ,English,English,Definitely yes,English,,English,,"'An athlete representing his country at the Olympics lost in the semifinal match, his coach and supporters are now upset.' 
Name the emotion the athlete would feel:",Upsetting 
R_7HJYgltYfd7W4Ip,46-55,Female,Bachelor’s degree,,English,English,Definitely yes,English,,English,,"'An athlete representing his country at the Olympics lost in the semifinal match, his coach and supporters are now upset.' 
Name the emotion the athlete would feel:",Disappointed
R_6CKuCcTMYTh3BdE,56+,Female,Master’s degree,none,English,English,Definitely yes,English,,English,,"'An athlete representing his country at the Olympics lost in the semifinal match, his coach and supporters are now upset.' 
Name the emotion the athlete would feel:",disappointment
R_34gws0kx39UhGbD,46-55,Female,Bachelor’s degree,none,English,English,Definitely yes,English,,English,,"'An athlete representing his country at the Olympics lost in the semifinal match, his coach and supporters are now upset.' 
Name the emotion the athlete would feel:",Upset 
R_3E0PeL2dDOLlEFI,36-45,Male,Secondary education (High school),,English,English,Definitely yes,English,,English,,"'An athlete representing his country at the Olympics lost in the semifinal match, his coach and supporters are now upset.' 
Name the emotion the athlete would feel:",Sadness
R_729Koo0SOsMXMnn,56+,Male,Master’s degree,Spanish,English,English,Definitely yes,English,,English,,"'An athlete representing his country at the Olympics lost in the semifinal match, his coach and supporters are now upset.' 
Name the emotion the athlete would feel:",Disappointment 
R_5flVqodrpIHNUFu,36-45,Female,Secondary education (High school),,English,English,Definitely yes,English,,English,,"'An athlete representing his country at the Olympics lost in the semifinal match, his coach and supporters are now upset.' 
Name the emotion the athlete would feel:",Disappointment 
R_6Ov226ING9ZD20L,36-45,Female,Bachelor’s degree,English,English,English,Definitely yes,English,,English,,"'An athlete representing his country at the Olympics lost in the semifinal match, his coach and supporters are now upset.' 
Name the emotion the athlete would feel:",Disappointment 
R_6LMXBbF8WDwL9NX,56+,Female,Secondary education (High school),none,English,English,Definitely yes,English,,English,,"'An athlete representing his country at the Olympics lost in the semifinal match, his coach and supporters are now upset.' 
Name the emotion the athlete would feel:",sadness
R_5Gy5GPrz4SWuuH2,36-45,Female,Bachelor’s degree,Russian,English,English,Definitely yes,English,,English,,"'An athlete representing his country at the Olympics lost in the semifinal match, his coach and supporters are now upset.' 
Name the emotion the athlete would feel:",Embarrassment 
R_6WQK8obG9ELgabf,26-35,Male,Primary education,none,English,English,Definitely yes,English,,English,,"'An athlete representing his country at the Olympics lost in the semifinal match, his coach and supporters are now upset.' 
Name the emotion the athlete would feel:",shame
R_1xQKA63Ya8INRND,56+,Male,Doctorate (Ph.D.),none,English,English,Definitely yes,English,,English,,"'An athlete representing his country at the Olympics lost in the semifinal match, his coach and supporters are now upset.' 
Name the emotion the athlete would feel:",worthlessness
R_3QgiDi6LVafBCa8,56+,Female,Bachelor’s degree,none,English,English,Definitely yes,English,,English,,"'An athlete representing his country at the Olympics lost in the semifinal match, his coach and supporters are now upset.' 
Name the emotion the athlete would feel:",sad
R_63xKbOJ9nnzxHm9,36-45,Female,Secondary education (High school),none,English,English,Definitely yes,English,,English,,"'An athlete representing his country at the Olympics lost in the semifinal match, his coach and supporters are now upset.' 
Name the emotion the athlete would feel:",sad
R_6FG9aCY3xBmsaY4,26-35,Female,Secondary education (High school),none,English,English,Definitely yes,English,,English,,"'An athlete representing his country at the Olympics lost in the semifinal match, his coach and supporters are now upset.' 
Name the emotion the athlete would feel:",Upset
R_5OXnLupIihHKg6Z,46-55,Female,Secondary education (High school),English,English,English,Definitely yes,English,,English,,"'An athlete representing his country at the Olympics lost in the semifinal match, his coach and supporters are now upset.' 
Name the emotion the athlete would feel:",Defeated
R_7r0vpFUDZ0D0doN,18-25,Non-binary,Bachelor’s degree,,English,English,Definitely yes,English,,English,,"'An athlete representing his country at the Olympics lost in the semifinal match, his coach and supporters are now upset.' 
Name the emotion the athlete would feel:",Dissappointed
R_11JLrAN7mh0UReV,26-35,Male,Bachelor’s degree,none,English,English,Definitely yes,English,,English,,"'An athlete representing his country at the Olympics lost in the semifinal match, his coach and supporters are now upset.' 
Name the emotion the athlete would feel:",Sad
R_1PmK7w5cqTelO5Q,26-35,Female,Bachelor’s degree,German,English,English,Definitely yes,English,,English,,"'An athlete representing his country at the Olympics lost in the semifinal match, his coach and supporters are now upset.' 
Name the emotion the athlete would feel:",Sadness
R_5a8BrPA6iwWqzct,26-35,Male,Master’s degree,non,English,English,Definitely yes,English,,English,,"'An athlete representing his country at the Olympics lost in the semifinal match, his coach and supporters are now upset.' 
Name the emotion the athlete would feel:",upset
R_3poqxx6qUvv4xdd,26-35,Male,Bachelor’s degree,Yourba,English,English,Definitely yes,English,,English,,"'An athlete representing his country at the Olympics lost in the semifinal match, his coach and supporters are now upset.' 
Name the emotion the athlete would feel:",Despair
R_17WgeNNCjJAzHLn,26-35,Male,Secondary education (High school),1,English,English,Definitely yes,English,,English,,"'An athlete representing his country at the Olympics lost in the semifinal match, his coach and supporters are now upset.' 
Name the emotion the athlete would feel:",shame
R_11BNXQR0I6Yo0rU,56+,Female,Bachelor’s degree,,English,English,Definitely yes,English,,English,,"'An athlete representing his country at the Olympics lost in the semifinal match, his coach and supporters are now upset.' 
Name the emotion the athlete would feel:",Overwhelmed
R_34GabVuMttFsAjn,18-25,Female,Master’s degree,none,English,English,Definitely yes,English,,English,,"'An athlete representing his country at the Olympics lost in the semifinal match, his coach and supporters are now upset.' 
Name the emotion the athlete would feel:",Demotivated
R_3DUOrXAnGYbIn1A,26-35,Male,Secondary education (High school),,English,English,Definitely yes,English,,English,,"'An athlete representing his country at the Olympics lost in the semifinal match, his coach and supporters are now upset.' 
Name the emotion the athlete would feel:",Disheartened 
R_3bZecrIP03ypQTS,26-35,Male,Bachelor’s degree,"English, Spanish",English,English,Probably yes,English,,English,,"'An athlete representing his country at the Olympics lost in the semifinal match, his coach and supporters are now upset.' 
Name the emotion the athlete would feel:",sad
R_3Cg3AArw8AABawh,26-35,Female,Bachelor’s degree,none,English,English,Definitely yes,English,,English,,"'An athlete representing his country at the Olympics lost in the semifinal match, his coach and supporters are now upset.' 
Name the emotion the athlete would feel:",Sadness
R_1lLDhiyHJrTwUAm,56+,Female,Secondary education (High school),,English,English,Definitely yes,English,,English,,"'An athlete representing his country at the Olympics lost in the semifinal match, his coach and supporters are now upset.' 
Name the emotion the athlete would feel:",disappointment
R_5hcpmYMKqM46qQ1,26-35,Female,Bachelor’s degree,Yes,English,English,Probably yes,English,,English,,"'An athlete representing his country at the Olympics lost in the semifinal match, his coach and supporters are now upset.' 
Name the emotion the athlete would feel:","So let's see the most notable Olympic failures that happened through the years: Montreal 1976: Montreal's 1976 Summer Olympics is one of the most cited examples of financial mismanagement. The city faced enormous debts that took nearly 30 years to pay off
"
R_10dUFJulVNWRH8V,36-45,Female,Master’s degree,,English,English,Definitely yes,English,,English,,"'An athlete representing his country at the Olympics lost in the semifinal match, his coach and supporters are now upset.' 
Name the emotion the athlete would feel:",Sadness
R_6QyOdq9nqUQzMz3,46-55,Male,Primary education,,English,English,Definitely yes,English,,English,,"'An athlete representing his country at the Olympics lost in the semifinal match, his coach and supporters are now upset.' 
Name the emotion the athlete would feel:",sadness
R_4KbMUki2qMYU1gJ,56+,Female,No formal education,,Other (please specify),English,Probably not,Other (please specify below),,3,,intensity.3,3-Medium
R_1PB00TTXcQ3MrZf,18-25,Male,Secondary education (High school),na,English,English,Definitely yes,English,,English,,intensity.3,5- Very strong
R_1zuQePlilZKo434,18-25,Female,Bachelor’s degree,,English,English,Definitely yes,English,,English,,intensity.3,5- Very strong
R_33j6oCssq7eKr41,26-35,Male,Bachelor’s degree,"Swahili, French",English,English,Definitely yes,English,,English,,intensity.3,5- Very strong
R_7uJbB6K8mNsdiTj,26-35,Female,Bachelor’s degree,none,English,English,Definitely yes,English,,English,,intensity.3,5- Very strong
R_1NPtZ3yyFjxs7wT,26-35,Female,Master’s degree,Armenian,English,English,Definitely yes,English,,English,,intensity.3,4-Rather strong
R_1AtRMBho8o1BLRn,18-25,Female,Master’s degree,,English,English,Definitely yes,English,,English,,intensity.3,5- Very strong
R_7ikw3tQKwns8oai,26-35,Female,Bachelor’s degree,none,English,English,Definitely yes,English,,English,,intensity.3,4-Rather strong
R_3DzYVx6jhWFiMFu,26-35,Male,Master’s degree,,English,English,Definitely yes,English,,English,,intensity.3,5- Very strong
R_5aJ5773izxZgBUM,56+,Male,Master’s degree,none,English,English,Definitely yes,English,,English,,intensity.3,5- Very strong
R_5pncMA5SbRE4Hcf,36-45,Male,Bachelor’s degree,English,English,English,Definitely yes,English,,English,,intensity.3,3-Medium
R_5GLcq5ZonHUe48x,18-25,Male,Bachelor’s degree,None.,English,English,Definitely yes,English,,English,,intensity.3,4-Rather strong
R_5YjttLicw3JmDdf,18-25,Male,Bachelor’s degree,,English,English,Definitely yes,English,,English,,intensity.3,4-Rather strong
R_5Q5Fh4fbdsKWfJJ,18-25,Female,Bachelor’s degree,,English,English,Definitely yes,English,,English,,intensity.3,4-Rather strong
R_3CkzQ1WXgXTyWrN,26-35,Male,Master’s degree,Spanish,English,English,Definitely yes,English,,English,,intensity.3,4-Rather strong
R_1GCghImduWIE6i4,18-25,Male,Bachelor’s degree,Mandarin,English,English,Definitely yes,English,,English,,intensity.3,4-Rather strong
R_1x3AgDBglm6emAh,36-45,Female,Bachelor’s degree,none,English,English,Definitely yes,English,,English,,intensity.3,5- Very strong
R_5CTTORsw7UqrMhf,36-45,Male,Bachelor’s degree,,English,English,Definitely yes,English,,English,,intensity.3,4-Rather strong
R_699YBunJXF8rkQF,26-35,Male,Secondary education (High school),American Sign Language,English,English,Definitely yes,English,,English,,intensity.3,5- Very strong
R_6B3BJILoA8iAxsp,36-45,Male,Bachelor’s degree,none,English,English,Definitely yes,English,,English,,intensity.3,5- Very strong
R_107h1Vn7CV1doqN,36-45,Male,Master’s degree,I speak only English,English,English,Definitely yes,English,,English,,intensity.3,4-Rather strong
R_1kM2sYw0yILPpYN,26-35,Female,Bachelor’s degree,,English,English,Definitely yes,English,,English,,intensity.3,5- Very strong
R_7rJzJXebMVwXdAa,36-45,Female,Master’s degree,na,English,English,Definitely yes,English,,English,,intensity.3,4-Rather strong
R_7E0rQuIBfE8K5mg,26-35,Female,Bachelor’s degree,non,English,English,Definitely yes,English,,English,,intensity.3,5- Very strong
R_3GtSUKXRfoX41Il,26-35,Male,Master’s degree,Spanish,English,English,Definitely yes,English,,English,,intensity.3,5- Very strong
R_3dcvKW5b4zEDQoY,18-25,Male,Bachelor’s degree,Chaldean,English,English,Definitely yes,English,,English,,intensity.3,5- Very strong
R_5loSb2FnG8EckOY,26-35,Female,Bachelor’s degree,none,English,English,Definitely yes,English,,English,,intensity.3,5- Very strong
R_6lE17npzadUddst,18-25,Female,Bachelor’s degree,,English,English,Definitely yes,English,,English,,intensity.3,5- Very strong
R_3zuWbC5oWUkttXh,26-35,Male,Bachelor’s degree,spanish,English,English,Definitely yes,English,,English,,intensity.3,5- Very strong
R_1QKRLRNMycAAiws,26-35,Female,Bachelor’s degree,none,English,English,Definitely yes,English,,English,,intensity.3,4-Rather strong
R_7OHi6sgiNIkRb1D,46-55,Female,Secondary education (High school),Nothing ,English,English,Definitely yes,English,,English,,intensity.3,3-Medium
R_7HJYgltYfd7W4Ip,46-55,Female,Bachelor’s degree,,English,English,Definitely yes,English,,English,,intensity.3,4-Rather strong
R_6CKuCcTMYTh3BdE,56+,Female,Master’s degree,none,English,English,Definitely yes,English,,English,,intensity.3,5- Very strong
R_34gws0kx39UhGbD,46-55,Female,Bachelor’s degree,none,English,English,Definitely yes,English,,English,,intensity.3,5- Very strong
R_3E0PeL2dDOLlEFI,36-45,Male,Secondary education (High school),,English,English,Definitely yes,English,,English,,intensity.3,5- Very strong
R_729Koo0SOsMXMnn,56+,Male,Master’s degree,Spanish,English,English,Definitely yes,English,,English,,intensity.3,4-Rather strong
R_5flVqodrpIHNUFu,36-45,Female,Secondary education (High school),,English,English,Definitely yes,English,,English,,intensity.3,5- Very strong
R_6Ov226ING9ZD20L,36-45,Female,Bachelor’s degree,English,English,English,Definitely yes,English,,English,,intensity.3,5- Very strong
